@relation music_classification

@attribute 'acousticness' numeric
@attribute 'danceability' numeric
@attribute 'duration_ms' numeric
@attribute 'energy' numeric
@attribute 'instrumentalness' numeric
@attribute 'key' numeric
@attribute 'liveness' numeric
@attribute 'loudness' numeric
@attribute 'mode' numeric
@attribute 'speechiness' numeric
@attribute 'tempo' numeric
@attribute 'time_signature' numeric
@attribute 'valence' numeric
@attribute 'class' {hip-hop/rap, pop, dance}

@data
0.229,0.485,330920,0.793,0.784,0,0.406,-8.693,1,0.0573,131.951,4.0,0.295,pop
0.0413,0.52,269000,0.872,0.725,8,0.161,-8.104,1,0.0483,111.958,4.0,0.524,pop
0.145,0.844,265400,0.688,0.00351,4,0.104,-8.594,0,0.291,96.671,4.0,0.747,hip-hop/rap
0.0275,0.684,195373,0.603,0.000311,11,0.191,-8.127,0,0.0989,81.0,4.0,0.508,pop
0.000103,0.498,322933,0.553,0.528,5,0.273,-6.193,1,0.0332,111.015,4.0,0.228,pop
0.0329,0.162,247027,0.254,0.122,2,0.0631,-11.251,1,0.0359,108.943,4.0,0.0778,pop
0.597,0.792,239427,0.387,0.000106,8,0.0757,-8.192,0,0.0464,136.996,4.0,0.677,dance
0.0726,0.739,386907,0.526,0.0,4,0.215,-7.384,0,0.101,143.948,4.0,0.374,hip-hop/rap
0.00341,0.491,128187,0.935,0.348,1,0.121,-4.22,1,0.0343,157.993,4.0,0.964,dance
0.0581,0.748,306600,0.586,0.0,1,0.156,-2.554,1,0.0512,140.067,4.0,0.162,hip-hop/rap
0.0214,0.465,295880,0.633,0.79,11,0.105,-9.493,0,0.0578,130.074,4.0,0.0451,dance
0.11,0.438,192000,0.539,0.0,8,0.143,-9.578,1,0.166,166.649,5.0,0.0759,dance
0.0036,0.396,186627,0.601,0.531,0,0.116,-9.347,1,0.0515,129.996,4.0,0.351,dance
0.000183,0.596,178800,0.628,0.00767,5,0.187,-7.582,0,0.0503,139.965,4.0,0.52,dance
0.000964,0.276,141627,0.766,0.858,7,0.15,-6.012,0,0.0373,158.188,4.0,0.547,dance
0.0372,0.638,210160,0.897,0.00748,7,0.0691,-5.78,0,0.0504,133.948,4.0,0.915,pop
0.0543,0.625,193147,0.576,4.07e-05,11,0.187,-5.693,0,0.175,179.063,4.0,0.223,pop
0.0113,0.535,258413,0.857,0.00751,9,0.472,-5.2,0,0.0543,91.053,4.0,0.431,dance
0.074,0.912,400751,0.781,0.762,7,0.348,-7.018,0,0.0444,119.978,4.0,0.891,dance
0.139,0.701,261120,0.822,0.0526,6,0.0726,-6.13,1,0.0366,129.03,4.0,0.739,dance
0.263,0.736,260413,0.58,0.663,5,0.101,-9.643,0,0.0485,140.04,4.0,0.144,dance
0.078,0.54,187847,0.77,0.0,7,0.0846,-7.748,1,0.354,99.882,4.0,0.62,hip-hop/rap
0.00855,0.714,155337,0.905,2.55e-05,8,0.146,-2.663,1,0.0289,125.927,4.0,0.824,pop
0.0015,0.36,162168,0.774,0.807,3,0.0996,-8.758,1,0.0384,80.205,4.0,0.664,pop
0.018,0.609,209760,0.798,8.68e-06,5,0.434,-4.448,0,0.0404,130.034,4.0,0.405,pop
0.0202,0.67,260853,0.544,0.00792,1,0.14,-9.643,0,0.124,140.037,4.0,0.331,hip-hop/rap
